Position,Name,Team,Opponent,Predicted_DK_Points,Ceiling,Floor,ID,Salary,Adjusted_Projection,Quality_Tier,Value,GPP_Score,AvgPointsPerGame
TE,Elijah Arroyo,SEA,HOU,3.21,4.173,1.926,40442357,2700,3.21,Standard,1.188888889,3.8841,3.21
WR,Casey Washington,ATL,SF,3.07,3.991,1.842,40442271,3100,3.07,Standard,0.990322581,3.7147,3.07
RB,Kyle Juszczyk,SF,ATL,2.79,3.627,1.674,40442209,4000,2.79,Standard,0.6975,3.3759,2.79
WR,Kalif Raymond,DET,TB,2.55,3.315,1.53,40442305,3000,2.55,Standard,0.85,3.0855,2.55
TE,Brock Wright,DET,TB,2.46,3.198,1.476,40442385,2500,2.46,Standard,0.984,2.9766,2.46
WR,Dominic Lovett,DET,TB,2.05,2.665,1.23,40442307,3000,2.05,Standard,0.683333333,2.4805,2.05
TE,Payne Durham,TB,DET,1.73,2.249,1.038,40442375,2500,1.73,Standard,0.692,2.0933,1.73
TE,Harrison Bryant,HOU,SEA,1.62,2.106,0.972,40442363,2500,1.62,Standard,0.648,1.9602,1.62
RB,Isaac Guerendo,SF,ATL,1.24,1.612,0.744,40442203,4000,1.24,Standard,0.31,1.5004,1.24
QB,Kirk Cousins,ATL,SF,1.3,1.69,0.78,40442130,4300,0.78,Avoid,0.181395349,1.417,0.78
WR,Skyy Moore,SF,ATL,1.13,1.469,0.678,40442315,3000,1.13,Standard,0.376666667,1.3673,1.13
WR,Jake Bobo,SEA,HOU,1.08,1.404,0.648,40442275,3000,1.08,Standard,0.36,1.3068,1.08
WR,Jordan Watkins,SF,ATL,0.88,1.144,0.528,40442317,3000,0.88,Standard,0.293333333,1.0648,0.88
QB,Davis Mills,HOU,SEA,0.87,1.131,0.522,40442133,4000,0.87,Standard,0.2175,1.0527,0.87
TE,Teagan Quitoriano,ATL,SF,0.86,1.118,0.516,40442403,2500,0.86,Standard,0.344,1.0406,0.86
TE,Devin Culp,TB,DET,0.85,1.105,0.51,40442377,2500,0.85,Standard,0.34,1.0285,0.85
WR,Ryan Miller,TB,DET,0.79,1.027,0.474,40442267,3200,0.79,Standard,0.246875,0.9559,0.79
WR,Braxton Berrios,HOU,SEA,0.77,1.001,0.462,40442287,3000,0.77,Standard,0.256666667,0.9317,0.77
TE,Luke Farrell,SF,ATL,0.7,0.91,0.42,40442395,2500,0.7,Standard,0.28,0.847,0.7
TE,Charlie Woerner,ATL,SF,0.7,0.91,0.42,40442401,2500,0.7,Standard,0.28,0.847,0.7
RB,Craig Reynolds,DET,TB,0.67,0.871,0.402,40442195,4000,0.67,Standard,0.1675,0.8107,0.67
RB,Dameon Pierce,HOU,SEA,0.65,0.845,0.39,40442181,4000,0.65,Standard,0.1625,0.7865,0.65
WR,David Sills V,ATL,SF,0.64,0.832,0.384,40442329,3000,0.64,Standard,0.213333333,0.7744,0.64
WR,Dareke Young,SEA,HOU,0.58,0.754,0.348,40442277,3000,0.58,Standard,0.193333333,0.7018,0.58
RB,Dare Ogunbowale,HOU,SEA,0.57,0.741,0.342,40442185,4000,0.57,Standard,0.1425,0.6897,0.57
RB,Nathan Carter,ATL,SF,0.57,0.741,0.342,40442213,4000,0.57,Standard,0.1425,0.6897,0.57
RB,George Holani,SEA,HOU,0.55,0.715,0.33,40442171,4000,0.55,Standard,0.1375,0.6655,0.55
RB,British Brooks,HOU,SEA,0.44,0.572,0.264,40442183,4000,0.44,Standard,0.11,0.5324,0.44
WR,Jamal Agnew,ATL,SF,0.44,0.572,0.264,40442333,3000,0.44,Standard,0.146666667,0.5324,0.44
RB,Jordan James,SF,ATL,0.42,0.546,0.252,40442205,4000,0.42,Standard,0.105,0.5082,0.42
TE,Eric Saubert,SEA,HOU,0.4,0.52,0.24,40442359,2500,0.4,Standard,0.16,0.484,0.4
WR,KhaDarel Hodge,ATL,SF,0.4,0.52,0.24,40442331,3000,0.4,Standard,0.133333333,0.484,0.4
QB,Jalen Milroe,SEA,HOU,0.32,0.416,0.192,40442132,4000,0.32,Standard,0.08,0.3872,0.32
QB,Drew Lock,SEA,HOU,0.31,0.403,0.186,40442131,4000,0.31,Standard,0.0775,0.3751,0.31
QB,Graham Mertz,HOU,SEA,0.3,0.39,0.18,40442134,4000,0.3,Standard,0.075,0.363,0.3
WR,Russell Gage Jr.,SF,ATL,0.21,0.273,0.126,40442321,3000,0.21,Standard,0.07,0.2541,0.21
QB,Teddy Bridgewater,TB,DET,0.19,0.247,0.114,40442135,4000,0.19,Standard,0.0475,0.2299,0.19
TE,Feleipe Franks,ATL,SF,0.18,0.234,0.108,40442405,2500,0.18,Standard,0.072,0.2178,0.18
QB,Kyle Allen,DET,TB,0.14,0.182,0.084,40442137,4000,0.14,Standard,0.035,0.1694,0.14
TE,Ross Dwelley,DET,TB,0.03,0.039,0.018,40442387,2500,0.03,Standard,0.012,0.0363,0.03
WR,Ricky White III,SEA,HOU,0.02,0.026,0.012,40442285,3000,0.02,Standard,0.006666667,0.0242,0.02
